objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.013558,-0.10863,21.941,20.797,20.461,20.314,20.302,0.052287
5.82094E+17,229.012259,-0.106399,22.786,21.45,21.202,21.027,21.168,0.112821
5.82094E+17,229.01242,-0.110108,21.085,19.881,19.298,19.058,18.998,0.116749
5.82094E+17,229.012177,-0.103744,23.052,21.844,21.467,21.29,21.483,0.269949
5.82094E+17,229.011457,-0.104468,23.384,22.161,21.802,21.645,20.202,0.237998
5.82094E+17,229.02003,-0.107681,19.862,18.4,17.759,17.458,17.352,0.43494
5.82094E+17,229.014142,-0.103704,25.618,21.496,19.971,18.755,18.155,0.281535
5.82094E+17,229.013109,-0.10205,22.536,21.378,21.059,20.835,20.925,0.369476
5.82094E+17,229.013107,-0.100928,22.448,21.628,21.247,21.264,21.005,0.436706
5.82094E+17,229.016959,-0.104757,22.445,21.434,21.119,21.008,21.027,0.323953
5.82094E+17,229.00467,-0.10723,15.451,14.849,14.095,14.366,12.942,0.491284
5.82094E+17,229.016686,-0.116852,21.838,21.023,20.729,20.731,20.648,0.569096
5.82094E+17,229.017553,-0.115592,22.091,21.183,20.836,20.661,20.716,0.527279
5.82094E+17,229.007608,-0.10217,23.603,20.878,19.402,18.563,18.158,0.477425
5.82094E+17,229.007864,-0.102829,23.601,22.201,21.919,21.975,22.698,0.437673
5.82094E+17,229.00708,-0.103582,23.639,22.611,22.169,21.661,21.304,0.441095
5.82094E+17,229.016864,-0.101813,21.717,20.946,20.623,20.465,20.392,0.454243
5.82094E+17,229.017844,-0.099802,22.402,21.231,20.874,20.818,20.658,0.58779
5.82094E+17,229.016407,-0.099154,24.736,23.108,22.38,21.819,22.653,0.584326
5.82094E+17,229.019603,-0.112649,21.478,20.51,20.185,19.98,20.031,0.487722
5.82094E+17,229.018476,-0.112818,22.351,21.757,21.476,21.23,20.889,0.439041
5.82094E+17,229.021175,-0.1112,22.095,21.232,20.869,20.622,20.688,0.533756
5.82094E+17,229.021864,-0.110681,23.438,21.83,21.366,21.45,21.388,0.563832
5.82094E+17,229.014425,-0.099669,22.268,21.483,21.073,21.106,20.988,0.521039
5.82094E+17,229.013955,-0.098855,23.225,21.981,21.672,21.464,21.659,0.56498
5.82094E+17,229.000764,-0.106382,18.833,17.549,17.511,17.484,17.547,0.730371
5.82094E+17,229.007724,-0.117592,21.707,20.561,20.118,19.922,19.811,0.640559
5.82094E+17,229.005518,-0.099669,21.259,20.24,19.858,19.734,19.687,0.672992
5.82094E+17,229.005028,-0.100941,21.83,20.62,20.251,20.058,20.153,0.638094
5.82094E+17,229.004802,-0.101471,22.181,21.21,20.764,20.713,21.202,0.627159
5.82094E+17,229.006128,-0.099227,23.458,22.259,21.844,21.538,21.303,0.670879
5.82094E+17,229.003504,-0.101206,23.784,22.736,22.091,21.751,22.65,0.698006
5.82094E+17,229.012792,-0.119955,21.675,20.868,20.581,20.408,20.312,0.705301
5.82094E+17,229.014628,-0.118344,23.036,21.778,21.514,21.25,22.112,0.618442
5.82094E+17,229.013664,-0.118265,23.639,21.918,21.544,21.279,21.284,0.606095
5.82094E+17,229.014804,-0.119868,24.044,23.063,22.73,22.131,22.277,0.710323
5.82094E+17,229.008735,-0.097076,25.243,24.006,22.648,22.631,22.458,0.710605
5.82094E+17,229.011024,-0.118538,21.599,20.53,20.127,19.934,19.858,0.629387
5.82094E+17,229.020508,-0.100517,24.253,23.427,22.234,20.6,19.882,0.652949
5.82094E+17,229.019433,-0.100472,22.437,21.674,21.297,21.237,21.645,0.61106
5.82094E+17,229.018571,-0.098663,23.184,21.86,21.522,21.321,20.927,0.668838
5.82094E+17,229.0222,-0.111202,22.585,21.586,21.122,20.984,20.754,0.592079
5.82094E+17,229.02287,-0.102418,21.546,20.534,19.964,19.729,19.839,0.696678
5.82094E+17,229.022704,-0.100496,23.224,22.85,22.653,21.968,22.123,0.752822
5.82094E+17,229.02341,-0.10351,25.622,23.402,22.894,22.168,22.078,0.696032
5.82094E+17,229.013725,-0.095986,24.65,22.457,21.262,20.634,20.388,0.734926
5.82094E+17,229.013,-0.096304,25.051,23.46,22.979,23.044,21.785,0.713835
5.82094E+17,229.018332,-0.119151,24.922,23.285,22.795,22.778,21.848,0.736144
5.82094E+17,229.020298,-0.114538,23.389,22.59,22.211,22.171,21.634,0.589075
5.82094E+17,229.019691,-0.115747,24.184,23.419,22.599,23.245,22.547,0.61321
5.82094E+17,229.023536,-0.112223,26.103,24.025,22.764,22.988,23.293,0.687878
5.82094E+17,229.0261,-0.107071,17.031,15.819,15.378,15.204,15.16,0.800837
5.82094E+17,229.027107,-0.108502,19.436,18.101,17.547,17.28,17.201,0.858636
5.82094E+17,229.000473,-0.113137,21.523,20.294,19.733,19.513,19.463,0.796745
5.82094E+17,229.001419,-0.115375,21.699,20.545,20.143,20.02,20.088,0.807263
5.82094E+17,229.028834,-0.106405,21.621,20.567,20.212,20.084,20.173,0.968079
5.82094E+17,229.001322,-0.09999,19.705,18.179,17.561,17.263,17.13,0.846731
5.82094E+17,228.999337,-0.104414,21.62,20.351,19.845,19.56,19.53,0.839134
5.82094E+17,229.002136,-0.096595,22.546,21.185,20.912,20.78,20.726,0.945642
5.82094E+17,229.000755,-0.100816,22.211,21.264,20.872,20.715,20.647,0.84767
5.82094E+17,229.001676,-0.101962,22.317,21.416,21.005,20.829,20.857,0.765244
5.82094E+17,228.998892,-0.101721,23.795,22.619,22.297,22.089,22.023,0.920588
5.82094E+17,228.998242,-0.103515,24.748,23.302,22.622,22.827,22.169,0.917618
5.82094E+17,229.002386,-0.095061,23.393,23.043,22.536,22.206,22.106,1.005945
5.82094E+17,228.999916,-0.101575,23.982,23.317,22.551,22.417,23.699,0.869272
5.82094E+17,228.998772,-0.102855,23.27,23.005,22.871,23.017,21.479,0.900706
5.82094E+17,229.013165,-0.121251,21.83,19.44,18.008,16.986,16.431,0.783375
5.82094E+17,229.015051,-0.121385,19.803,18.246,17.588,17.3,17.156,0.80253
5.82094E+17,229.01598,-0.122697,25.224,23.241,22.495,21.941,21.401,0.890494
5.82094E+17,229.013166,-0.122806,23.158,22.976,22.672,22.066,21.98,0.876618
5.82094E+17,229.011571,-0.121582,23.987,23.404,22.906,22.242,21.296,0.806324
5.82094E+17,229.02379,-0.115936,18.89,17.622,17.306,17.152,17.115,0.806375
5.82094E+17,229.020127,-0.122847,21.376,19.957,19.406,19.162,19.074,0.982663
5.82094E+17,229.02138,-0.117398,24.177,21.303,19.843,19.129,18.768,0.754689
5.82094E+17,229.024683,-0.11476,21.177,20.275,19.901,19.719,19.812,0.814431
5.82094E+17,229.025217,-0.116612,22.117,20.964,20.57,20.424,20.504,0.899883
5.82094E+17,229.026534,-0.11328,22.904,21.16,20.831,20.705,21.07,0.878573
5.82094E+17,229.028703,-0.112675,22.945,21.632,21.376,21.171,20.99,0.991222
5.82094E+17,229.006522,-0.122944,22.612,21.341,20.964,20.784,20.72,0.961526
5.82094E+17,228.997716,-0.115398,23.495,21.79,21.362,21.131,21.65,1.002801
5.82094E+17,228.999343,-0.115804,23.257,22.245,21.938,21.659,21.237,0.927407
5.82094E+17,228.997038,-0.109422,21.884,19.403,17.994,17.26,16.863,0.948546
5.82094E+17,228.999084,-0.108666,22.395,21.565,21.207,21.079,21.639,0.82344
5.82094E+17,229.010759,-0.093845,20.961,19.734,19.176,18.911,18.833,0.869954
